elevation,storage,area
1052,7828018,72936
1052.5,7864528,73117
1053,7901128,73298
1053.5,7937828,73479
1054,7974608,73660
1054.5,8011488,73841
1055,8048458,74022
1055.5,8085508,74203
1056,8122658,74384
1056.5,8159898,74565
1057,8197218,74746
1057.5,8234638,74927
1058,8272148,75108
1058.5,8309748,75289
1059,8347438,75470
1059.5,8385218,75651
1060,8423088,75832
1060.5,8461048,76013
1061,8499098,76194
1061.5,8537248,76375
1062,8575478,76556
1062.5,8613798,76737
1063,8652218,76918
1063.5,8690718,77099
1064,8729308,77280
1064.5,8767998,77461
1065,8806768,77642
1065.5,8845638,77823
1066,8884598,78004
1066.5,8923638,78185
1067,8962778,78366
1067.5,9002008,78547
1068,9041328,78727
1068.5,9080738,78908
1069,9120238,79089
1069.5,9159828,79270
1070,9199508,79451
1070.5,9239268,79617
1071,9279118,79787
1071.5,9319048,79957
1072,9359068,80127
1072.5,9399178,80297
1073,9439368,80468
1073.5,9479648,80638
1074,9520008,80808
1074.5,9560448,80978
1075,9600988,81148
1075.5,9641598,81318
1076,9682298,81488
1076.5,9723088,81658
1077,9763958,81828
1077.5,9804918,81999
1078,9845958,82169
1078.5,9887088,82339
1079,9928298,82509
1079.5,9969598,82679
1080,10010978,82849
1080.5,10052448,83007.9
1081,10093998,83166.8
1081.5,10135648,83325.7
1082,10177378,83484.6
1082.5,10219198,83643.5
1083,10261098,83802.4
1083.5,10303098,83961.3
1084,10345178,84120.2
1084.5,10387348,84279.1
1085,10429608,84438
1085.5,10471948,84596.9
1086,10514388,84755.8
1086.5,10556908,84914.7
1087,10599518,85073.6
1087.5,10642218,85232.5
1088,10684998,85391.4
1088.5,10727868,85550.3
1089,10770828,85709.2
1089.5,10813878,85868.1
1090,10857008,86027
1090.5,10900238,86185.9
1091,10943548,86344.8
1091.5,10986938,86503.7
1092,11030418,86662.6
1092.5,11073988,86821.5
1093,11117638,86980.4
1093.5,11161378,87139.3
1094,11205208,87298.2
1094.5,11249118,87457.1
1095,11293118,87616.06298
1095.5,11336955.12,87761.05327
1096,11380872.81,87923.72901
1096.5,11424872.44,88069.74014
1097,11468946.25,88240.76996
1097.5,11513107.08,88399.77626
1098,11557346.99,88574.12872
1098.5,11601673.66,88726.56886
1099,11646067.27,88904.05782
1099.5,11690576.89,89117.53399
1100,11735176.05,89299.86559
1100.5,11779866.81,89457.94667
1101,11824637.1,89646.31758
1101.5,11869502.27,89808.46486
1102,11914439.13,89969.50073
1102.5,11959478.53,90157.21066
1103,12004602.44,90358.92689
1103.5,12049826.63,90532.37964
1104,12095140.26,90742.8504
1104.5,12140560.32,90940.02211
1105,12186069.17,91125.86301
1105.5,12231691.06,91336.56301
1106,12277410.06,91559.71425
1106.5,12323247.8,91788.07726
1107,12369192.24,92005.59595
1107.5,12415245.86,92205.34948
1108,12461401.66,92446.70916
1108.5,12507673.61,92678.40424
1109,12554079.82,92962.60473
1109.5,12600613.94,93165.8566
1110,12647247.28,93419.1801
1110.5,12694010.34,93634.54607
1111,12740876.29,93886.10581
1111.5,12787856.32,94064.28813
1112,12834932.79,94285.05663
1112.5,12882121.67,94473.64043
1113,12929400.76,94686.04905
1113.5,12976786.57,94850.91269
1114,13024254.9,95055.8883
1114.5,13071819.66,95243.583
1115,13119488.21,95459.93801
1115.5,13167265.49,95643.99474
1116,13215135.39,95858.77865
1116.5,13263113.84,96057.27143
1117,13311186.67,96253.02593
1117.5,13359355.63,96415.24694
1118,13407594.22,96571.05022
1118.5,13455931.76,96749.28138
1119,13504347.2,96928.44928
1119.5,13552852.06,97084.76458
1120,13601435.35,97261.27681
1120.5,13650107.56,97422.11492
1121,13698851.76,97588.79309
1121.5,13747698.82,97777.97285
1122,13796635.77,97983.23604
1122.5,13845676.01,98172.40889
1123,13894813.16,98389.2403
1123.5,13944059.69,98588.43003
1124,13993404.49,98804.53201
1124.5,14042853.48,99042.73483
1125,14092429.25,99275.41364
1125.5,14142122.01,99488.64816
1126,14191920.52,99720.6606
1126.5,14241840.74,99967.91713
1127,14291876.41,100191.8446
1127.5,14342013.78,100391.3435
1128,14392260.85,100617.1534
1128.5,14442623.56,100840.9321
1129,14493095.25,101062.5536
1129.5,14543676.07,101254.7957
1130,14594353.51,101477.268
1130.5,14645137.27,101703.9731
1131,14696039.59,101926.9418
1131.5,14747053.12,102120.593
1132,14798163.26,102349.9933
1132.5,14849388.5,102544.43
1133,14900711.03,102784.1612
1133.5,14952154.56,102983.9357
1134,15003688.79,103188.8269
1134.5,15055351.33,103426.2217
1135,15107118.97,103670.2909
1135.5,15159012.97,104284.7263
1136,15211315.57,104815.9102
1136.5,15263817.57,105182.9884
1137,15316471.3,105460.3982
1137.5,15369288.29,105757.9986
1138,15422233.17,106073.2113
1138.5,15475338.1,106345.3879
1139,15528574.4,106649.2239
1139.5,15581958.28,106878.5989
1140,15635449.4,107119.5383
1140.5,15689102.63,107440.359
1141,15742879.38,107706.7051
1141.5,15796788.64,107924.4681
1142,15850807.86,108202.9707
1142.5,15904969.4,108439.6934
1143,15959245.87,108713.037
1143.5,16013645.59,108922.2391
1144,16068161.43,109197.8004
1144.5,16122822.01,109439.0295
1145,16177600.87,109719.2185
1145.5,16232520.58,109952.863
1146,16287557.66,110242.0336
1146.5,16342736.17,110505.881
1147,16398050.21,110789.9358
1147.5,16453505.45,111023.0901
1148,16509077.23,111305.982
1148.5,16564795.92,111557.3807
1149,16620634.95,111838.7625
1149.5,16676615.55,112076.5742
1150,16732705.19,112323.0611
1150.5,16788954.34,112626.3887
1151,16845331.89,112916.8178
1151.5,16901855.94,113194.37
1152,16958547.83,113557.4517
1152.5,17015394.75,113820.3194
1153,17072358.41,114072.0982
1153.5,17129472.74,114344.8905
1154,17186706.53,114616.3753
1154.5,17244078.87,114873.1699
1155,17301581.6,115153.1623
1155.5,17359218.67,115387.1902
1156,17416961.4,115624.3634
1156.5,17474858.09,115912.1389
1157,17532876.99,116204.792
1157.5,17591045.05,116466.0847
1158,17649368.8,116849.0361
1158.5,17707859.77,117105.4584
1159,17766478.32,117410.2184
1159.5,17825242.89,117683.3702
1160,17884154.13,117993.744
1160.5,17943222.91,118275.0716
1161,18002431.85,118592.5856
1161.5,18061799.85,118870.4946
1162,18121306.96,119191.5252
1162.5,18180962.68,119472.0586
1163,18240770.93,119795.1132
1163.5,18300740.14,120072.5527
1164,18360848.99,120422.2648
1164.5,18421137.7,120716.5177
1165,18481577.95,121098.9545
1165.5,18542191.96,121398.1503
1166,18602971.72,121792.7678
1166.5,18663947.11,122102.4486
1167,18725078.32,122473.7162
1167.5,18786395.09,122787.1768
1168,18847874.49,123167.886
1168.5,18909540.42,123492.0517
1169,18971359.91,123829.4225
1169.5,19033395.6,124275.4841
1170,19095622.03,124673.047
1170.5,19158042.72,125002.3851
1171,19220628.81,125393.594
1171.5,19283415.18,125752.7681
1172,19346370.17,126109.2489
1172.5,19409537.09,126506.6851
1173,19472881.44,126903.4521
1173.5,19536423.46,127257.6621
1174,19600143.5,127655.0837
1174.5,19664064.99,128031.3251
1175,19728171.06,128425.9667
1175.5,19792458.72,128767.1798
1176,19856928.15,129147.3881
1176.5,19921586.79,129478.1711
1177,19986408.45,129833.9234
1177.5,20051404.17,130139.8828
1178,20116552.04,130489.5893
1178.5,20181862.1,130795.1078
1179,20247345.6,131158.2984
1179.5,20313002.24,131459.7536
1180,20378809.3,131791.7839
1180.5,20444779.7,132080.8726
1181,20510893.34,132402.3527
1181.5,20577156.06,132693.9064
1182,20643603.71,133085.7406
1182.5,20710222.4,133380.3627
1183,20776987.06,133699.337
1183.5,20843911.99,133992.4493
1184,20910985.07,134311.7699
1184.5,20978218.54,134615.1972
1185,21045591.48,134923.2762
1185.5,21113142.58,135256.3458
1186,21180851.02,135597.9523
1186.5,21248730.34,135912.3176
1187,21316767.16,136249.3722
1187.5,21384972.47,136567.1332
1188,21453331.09,136896.5729
1188.5,21521871.17,137232.5564
1189,21590568.37,137569.8123
1189.5,21659432.81,137909.7674
1190,21728468.62,138245.6428
1190.5,21797669.27,138549.0392
1191,21867021.76,138873.0965
1191.5,21936522.52,139178.9994
1192,22006193.91,139519.0518
1192.5,22076036.44,139842.361
1193,22146040.28,140183.3329
1193.5,22216214.89,140506.725
1194,22286551.9,140854.9302
1194.5,22357051.88,141193.4718
1195,22427735.83,141553.9937
1195.5,22498597.86,141885.1208
1196,22569624.08,142223.7465
1196.5,22640816.46,142536.3283
1197,22712165.76,142870.398
1197.5,22783668.33,143189.3483
1198,22855346.37,143531.3192
1198.5,22927195.68,143855.3864
1199,22999205.03,144191.4843
1199.5,23071381.3,144503.7109
1200,23143713.57,144834.116
1200.5,23216210.38,145144.1523
1201,23288848.9,145458.0234
1201.5,23361678.53,145852.8297
1202,23434687.96,146196.8884
1202.5,23507875.03,146560.8693
1203,23581326.43,147143.769
1203.5,23654986.15,147480.3985
1204,23728794.51,147803.1686
1204.5,23802788.09,148147.6718
1205,23876949.51,148511.0185
1205.5,23951313.97,148937.6556
1206,24025868.87,149292.4534
1206.5,24100601.71,149631.1098
1207,24175487.39,149961.5901
1207.5,24250561.02,150302.9951
1208,24325795.1,150642.9333
1208.5,24401198.68,150961.1885
1209,24476760.19,151297.7266
1209.5,24552489.73,151609.7042
1210,24628375.12,151940.8547
1210.5,24704411.04,152254.1521
1211,24780617.33,152579.7027
1211.5,24856985.7,152883.6147
1212,24933504.31,153196.4679
1212.5,25010178.23,153489.5306
1213,25086998.12,153793.1251
1213.5,25163954.09,154082.1089
1214,25241070.29,154385.3106
1214.5,25318337.04,154672.072
1215,25395747.17,154967.7902
1215.5,25473302.18,155241.2571
1216,25550991.9,155517.1063
1216.5,25628819.46,155782.4726
1217,25706763.6,156056.5731
1217.5,25784860.27,156321.0222
1218,25863089.95,156597.7296
1218.5,25941458.1,156865.5998
1219,26019960.15,157142.0382
1219.5,26098601.14,157411.9559
1220,26177361.33,157682.9385
1220.5,26256279.73,157972.2409
1221,26335338.45,158262.4194
1221.5,26414542.66,158545.3633
1222,26493891.88,158853.2785
1222.5,26573396.69,159156.6686
1223,26653037.73,159461.085
1223.5,26732851.61,159773.8
1224,26812815.84,160079.091
1224.5,26892930.11,160367.3785
1225,26973186.65,160654.9562
1225.5,27053585.98,160931.244
1226,27134123.55,161217.7305
1226.5,27214787.5,161493.2036
1227,27295605.9,161777.4101
1227.5,27376565.71,162052.724
1228,27457664.41,162341.394
1228.5,27538908.65,162624.4683
1229,27620294.12,162915.7876
1229.5,27701810.3,163204.8774
1230,27783488.29,163503.9869
1250,30809525,175800
